Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
13,1.248076874999999898e+19,1.163598958333333299e+19,3.210458506644710752e+01,5.777884022777701034e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.601121708209589e+05,2.327332905449240741e+01
14,2.008013437499999846e+19,1.735923437500000051e+19,2.626790493785476244e+01,5.688609856477067694e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.601700664935957e+05,3.744413378124639280e+01
15,3.536883750000000205e+19,2.881031249999999795e+19,2.626744003510556169e+01,5.604619389407350383e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.602860606684726e+05,6.595351695883081788e+01
16,8.957684375000000512e+18,2.980750000000000000e+19,2.626836807019701325e+01,5.391185859251714874e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.602444292477035e+05,1.670370953917884194e+01
17,2.758413986842104955e+20,1.790750000000000000e+20,3.317546741592767034e+01,5.209584727960574213e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.618824815710803e+05,5.143711711210947897e+02
18,1.675593333333333377e+21,1.039266666666666754e+21,2.801163983585938411e+01,4.904083651533125732e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.710644040755948e+05,3.124537902216997281e+03
19,3.540625000000000098e+21,2.120000000000000000e+21,3.501261634374090193e+01,4.858585992985776869e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.827988605833389e+05,6.602328136523015928e+03
20,4.622499999999999869e+21,2.870000000000000524e+21,3.501257436452136318e+01,4.902807491289197372e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.905461763456805e+05,8.619738552113720289e+03
21,6.375000000000000262e+21,4.287500000000000131e+21,3.501252941176470301e+01,4.899898542274051749e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.046436459232040e+05,1.188768702427798053e+04
22,9.830000000000000524e+21,8.196249999999999410e+21,3.501250000000000284e+01,4.934549794113161170e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.409486628053746e+05,1.833034720763177393e+04
23,2.865000000000000157e+22,1.964999999999999948e+22,3.501250000000000284e+01,4.916514098137511724e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.635481841233935e+05,5.342466403851986252e+04
24,3.689999999999999895e+22,2.643749999999999751e+22,3.501250000000000284e+01,4.927152718676123300e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.307878930723194e+05,6.880872959935019026e+04
25,6.584999999999998899e+22,4.541250000000000406e+22,3.501250000000000284e+01,4.923329674538729250e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.297385829494854e+05,1.227928142037184152e+05
26,1.229999999999999853e+23,7.589999999999999266e+22,3.501250000000000284e+01,4.932065607616098646e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.269228853089025e+06,2.293624319978339481e+05
27,2.333333333333333361e+23,1.242083333333333186e+23,3.501249999999999574e+01,4.919702447175175308e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.844040875585650e+06,4.351048845487365033e+05
28,8.033333333333332984e+23,6.051666666666665789e+23,3.501249999999999574e+01,4.926818179757261618e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.581400918338989e+06,1.498003959660650231e+06
29,1.987142857142856487e+23,8.651571428571426796e+22,3.501249999999999574e+01,4.923614279046434206e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.491518665673055e+06,3.705495271881382796e+05
