Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
5.400000000000000000e+01,7.552783000000000175e+20,5.832810000000000328e+20,2.527155000000000128e+01,1.023372000000000017e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.872237870000000171e+05,1.552282000000000007e+05
5.500000000000000000e+01,5.588858777777777885e+20,2.827858000000000000e+20,2.527830888888888870e+01,1.058377777777777720e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.070177700000000005e+05,7.775508888888888751e+03
5.600000000000000000e+01,2.330507588888888755e+20,2.188778285125888805e+20,2.522785500000000157e+01,1.108533275000000151e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.087122707250000182e+03,3.833883725888888702e+03
5.700000000000000000e+01,1.377872817777777517e+20,1.732882517777777588e+20,2.508783333333333787e+01,1.283711750000000117e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.235785585833332803e+03,2.730058777777777032e+03
5.800000000000000000e+01,1.073882208080808153e+20,1.088811827272727511e+20,2.577578272727272535e+01,1.733850373737373781e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.312303737373737552e+03,1.823772181818181788e+03
5.900000000000000000e+01,8.735288777777777385e+18,7.580335888888888181e+18,2.335187333333333181e+01,2.072813777777777777e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.052530533333333087e+03,1.535278888888888873e+03
6.000000000000000000e+01,8.507278777777777213e+18,5.828300888888888181e+18,2.123302777777777383e+01,1.878818333333333588e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.178052077777777515e+03,1.325515333333333375e+03
6.100000000000000000e+01,5.031087333333333707e+18,3.318778777777777803e+18,1.718827000000000121e+01,2.585782777777777805e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.780258777777777055e+03,5.375130333333333178e+02
6.200000000000000000e+01,5.578555725888888588e+18,1.828823250000000000e+18,8.738335000000000057e+00,5.351531758888888577e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.321075801758888880e+03,5.075703825000000071e+01
6.300000000000000000e+01,2.851257800000000000e+17,8.005187333333332882e+18,3.822727333333333558e+00,3.382287777777777355e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.757737577777777888e+02,0.000000000000000000e+00
